decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus
-37.4099,147.6741,1993-01-16T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,8b4fb292-8d49-4b95-b5a3-6c275bf12cf7,Victorian Biodiversity Atlas,PRESENT
-37.3305,149.4116,1990-02-28T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,5215f5ba-9b59-4edb-89b3-54b790684509,Victorian Biodiversity Atlas,PRESENT
-37.2609,148.138,2021-12-11T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,e8e583b5-7d28-457e-87d5-59fb152b5ba1,Victorian Biodiversity Atlas,PRESENT
-37.2609,148.138,2021-12-17T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,158f73e2-3527-48d2-a4a6-f3ec36b0b0ee,Victorian Biodiversity Atlas,PRESENT
-37.2594,146.3969,2002-09-30T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,37667474-ebcf-447c-9cb3-2135f9f58fd1,Victorian Biodiversity Atlas,PRESENT
-37.2594,146.3969,2002-01-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,e04e7fa9-197e-407a-be8d-cdab619b2974,Victorian Biodiversity Atlas,PRESENT
-37.2484,147.2512,1983-06-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,7c894633-2af6-47d5-a5f3-0b6befb69088,Victorian Biodiversity Atlas,PRESENT
-37.2484,148.0846,1983-06-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,4c262bce-176d-4e70-9d0e-0ed4af302f6a,Victorian Biodiversity Atlas,PRESENT
-37.2484,147.4179,1983-06-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,8e415025-3184-4564-9076-c9fa1e81afaa,Victorian Biodiversity Atlas,PRESENT
-37.2484,148.9179,1988-03-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,78a79bad-e28e-4bd0-b6a1-3e53df20517e,Victorian Biodiversity Atlas,PRESENT
-37.2278,147.9233,2010-04-04T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,0f5af5d7-c351-435f-81e3-b05852c7a741,Victorian Biodiversity Atlas,PRESENT
-37.2263,148.0037,2020-10-13T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,7f875524-514f-4bec-bee8-aee95398a4dc,Victorian Biodiversity Atlas,PRESENT
-37.2253,148.057,2020-10-13T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,0418307e-bc74-421b-85e9-0414a3f9fa0b,Victorian Biodiversity Atlas,PRESENT
-37.218,148.0014,2020-11-23T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,83c76b86-d59c-471c-8548-e7004620997d,Victorian Biodiversity Atlas,PRESENT
-37.208,148.0206,2020-11-23T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,1fb6ee54-2d76-4cbf-a46c-8217ec582d7b,Victorian Biodiversity Atlas,PRESENT
-37.20792,148.001332,2015-07-10T02:38:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,24707553-c33a-49d5-896c-be59f36558f9,iNaturalist Australia,PRESENT
-37.204,147.8915,2019-07-04T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,fccf4740-acc5-4425-a8b6-da9296c3f424,Victorian Biodiversity Atlas,PRESENT
-37.202259,148.002273,2015-07-10T01:53:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,7423be5e-0a8b-437f-9943-3ebdea3f4039,iNaturalist Australia,PRESENT
-37.2018,146.3527,2003-12-01T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,2a19432b-be4f-4923-a6c3-d3d49d9dc4be,Victorian Biodiversity Atlas,PRESENT
-37.1976,147.9934,1993-02-26T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,0699df87-5262-4358-b709-199edf190cfb,Victorian Biodiversity Atlas,PRESENT
-37.186753,148.007209,2020-05-19T01:54:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,fc54dbbd-eabb-45c0-b11d-cdae0bda4d20,iNaturalist Australia,PRESENT
-37.186731,148.00549,2020-05-19T02:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,a271d603-62e4-4a3f-8fb6-c26270a3bf6e,iNaturalist Australia,PRESENT
-37.186267,148.007602,2020-05-19T01:52:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,550cfc6b-9b5b-4702-91e8-a21d235ef0b8,iNaturalist Australia,PRESENT
-37.1846,147.9089,2016-10-16T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,1e12d965-f78b-4460-8651-40c913a5d0f1,Victorian Biodiversity Atlas,PRESENT
-37.1846,147.9089,2016-10-16T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,0a4770b3-f601-43bf-8d0e-dea39dfc8036,Victorian Biodiversity Atlas,PRESENT
-37.183228,147.948697,2018-01-28T13:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,7d332935-878e-45cf-85f4-ff18e70c3dcd,ALA species sightings and OzAtlas,PRESENT
-37.1818,147.9402,1995-12-16T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,dc755cb7-78ae-42db-817b-23e2b3846ae2,Victorian Biodiversity Atlas,PRESENT
-37.1809,147.938,2023-03-06T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,89c18281-d52a-4910-b12f-f5d3b4559546,Museums Victoria provider for OZCAM,PRESENT
-37.1809,147.938,2023-03-07T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,5e960493-a6fb-4742-a6ae-0ead085a22fe,Museums Victoria provider for OZCAM,PRESENT
-37.179425,147.413052,2020-11-24T01:38:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,f40adaf9-77c9-4602-af49-8e98b7e12829,iNaturalist Australia,PRESENT
-37.179,147.945,2023-03-16T00:00:00Z,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,50ed3c5a-d01c-4f18-a1c7-e49aa1aa41eb,Museums Victoria provider for OZCAM,PRESENT
